GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratioPercentile	EdgeCase
ACR	-0.54	19.15	-0.6	17.91	-0.68	16.31	-0.13	38.79	-0.76	13.85	-0.47	23.43	-0.39	26.72	-0.57	18.55	33.17875211	N
ACRBP	-0.34	30.45	-0.69	15.2	-0.26	33.2	-0.38	23.25	-1.16	6.51	-0.72	12.54	-0.47	22.9	-0.4	26.66	34.44953023	N
ACRC	-0.44	24.01	-0.35	29.43	-0.25	33.69	0.37	77.9	-0.02	52.61	-0.72	12.54	-0.85	11.79	-0.64	15.79	50.69260419	N
ACRV1	0.16	69.92	0.08	60.09	0.28	67.44	-0.08	42.56	-0.04	51.87	0.27	74.39	0.47	78	0.21	71.22	58.97374127	Y
ACSBG1	-0.36	29.28	-0.37	28.2	-0.89	11.39	-0.88	8.81	-0.76	13.58	-0.13	47.81	-0.53	20.56	-0.14	46.05	18.50758853	N
ACSBG2	2.46	98.35	1.72	96.48	2.25	98.53	-0.1	40.39	2.16	97.9	2.69	98.58	1.41	94.87	2.07	97.36	67.39942183	N
ACSF2	-0.29	33.48	-0.18	40.45	0.59	81.19	-0.33	25.93	-0.4	27.59	-0.72	12.54	-0.87	11.42	-0.72	13.42	40.35774512	N
ACSF3	-0.54	18.6	-0.88	10.54	0.04	52.24	-0.52	17.32	0.55	81.09	0.27	73.7	-1.34	5.18	-0.89	9.23	42.6764635	N
ACSL1	-1.01	6.61	-0.84	11.36	-1.72	3.27	-0.68	12.43	-0.09	47.56	-0.77	11.38	-1.41	4.65	-1.39	3.63	12.20790171	N
ACSL3	-0.69	13.26	0.13	63.49	-0.39	26.89	-0.31	26.84	-0.65	17.28	-0.64	15.52	-0.27	32.44	-0.81	11.04	22.91616478	N
ACSL4	-0.35	30.1	-0.56	19.31	-0.15	39.85	-0.2	33.83	-0.49	23.35	-0.3	34.73	-0.45	23.52	-0.3	33.66	26.95133703	N
ACSL5	-0.1	50.07	0.27	70.64	-0.6	18.55	-0.29	27.84	-0.81	12.54	-0.21	40.48	0.93	89.69	0.39	78	41.83329318	N
ACSL6	-0.88	8.72	-0.64	16.63	-0.77	13.84	0.05	53.16	-0.65	17.28	-0.64	15.52	-0.65	16.71	-1.06	6.66	11.09371236	N
ACSM1	0.47	81.12	0.12	62.17	0.27	67.23	-0.01	47.51	-0.59	18.82	-0.55	18.37	0.61	82.56	0.8	88	81.50445676	N
ACSM2A	1.42	94.57	0.41	76.51	1.36	94.93	-0.06	44.07	1.32	93.87	0.57	83.65	0.36	73.27	1.19	92.89	66.98988196	N
ACSM2B	-0.38	27.34	0.56	81.71	1.21	93.45	0.24	69.88	0.41	76.28	-0.11	49.96	0.32	70.92	-0.39	27.72	80.01084076	N
ACSM3	0.34	77.11	1.29	93.85	0.35	71.7	1.19	95.75	1.15	92.29	0.36	77.15	1.18	92.97	0.63	84.54	70.56131053	N
ACSM4	-0.1	50.07	-0.46	23.57	-0.46	23.87	0	48.84	-0.01	53.75	-0.43	24.94	-0.41	25.08	-0.13	46.29	69.16405685	N
ACSM5	1.08	91.78	3.18	99.33	2.29	98.58	1.45	97.29	3.76	99.51	2.26	97.8	2.05	98.02	0.85	88.8	63.96651409	N
ACSS1	0.01	60.64	-0.95	9.32	-1.3	5.99	-0.64	13.41	-1.78	2.36	-0.83	9.36	0	50.96	-0.11	48.59	31.07082631	N
ACSS2	-0.11	48.84	-0.49	22.7	-0.06	45.44	-0.6	14.83	-0.05	51.18	-0.98	6.89	-0.45	23.63	-0.32	32.05	76.65020477	N
ACSS3	-0.32	31.44	-0.42	25.64	-0.8	13.12	-0.07	43.21	-0.34	31.36	-0.68	14.01	-0.9	10.83	-0.52	20.29	62.55721513	N
ACTA1	-0.18	43.45	-0.3	32.62	-0.69	15.99	0	49.5	-0.29	34.57	-0.17	45.6	-0.27	33.32	-0.18	43.38	1.288846061	Y
ACTA2	-0.16	44.62	-0.27	33.97	-0.65	17.06	0.02	50.88	-0.26	36.72	-0.15	47.68	-0.22	36.04	-0.15	45.89	0.367381354	Y
ACTB	-0.42	25.38	-0.67	15.62	-1.37	5.44	-0.28	28.4	-0.52	21.96	-0.32	33.13	-0.83	12.13	-0.54	19.74	0.204769935	N
ACTBL2	-0.42	24.76	0.89	89.24	0.22	64.57	0.96	93.65	1.18	92.7	-0.68	14.01	0.19	64.19	-0.38	27.9	82.95591424	N
ACTC1	-0.12	48.6	-0.21	38.28	-0.38	27.38	0.07	55.44	-0.16	43.78	-0.09	53.45	-0.31	30.41	-0.21	40.71	0.517947483	Y
ACTG1	-1.22	4.34	-1.93	1.91	-3.49	0.56	-1.24	4.84	-1.83	2.2	-1.15	4.98	-2.38	1.34	-1.54	2.86	0.132498193	N
ACTG2	-0.22	39.8	-0.36	28.63	-0.66	16.61	-0.05	45.37	-0.39	28.47	-0.24	39.98	-0.36	27.99	-0.24	38.27	2.318718381	Y
ACTL6A	-0.28	35.17	0.28	71.27	0.34	71.05	0.17	64.67	0.43	77.45	0.34	76.81	0.68	84.72	0.03	60.12	19.76632137	N
ACTL6B	-0.2	40.89	-0.34	30.07	-0.62	17.86	-0.03	46.77	0.12	62.86	-0.15	47.68	-0.41	25.66	-0.27	35.97	0.969645868	Y
ACTL7A	0.37	78.26	-0.13	43.98	0.72	85.17	0.35	77.05	0.36	74.1	-0.19	42.29	-0.01	50.46	-0.35	29.97	79.64345941	N
ACTL7B	0.17	70.21	-0.29	33.34	0.31	69.52	-0.26	29.85	0.11	61.7	-0.11	50.34	-0.66	16.55	-0.13	46.29	97.60298723	N
ACTL8	-0.25	36.77	-0.07	48.69	-0.46	23.84	0.01	50.06	0.09	60.27	-0.36	29.07	-0.1	43.86	-0.15	44.42	30.09515779	N
ACTL9	1.09	91.87	0.33	73.54	0.55	80	0.42	80.05	0.92	89.6	1.76	96.33	0.46	77.7	0.34	76.13	93.20043363	N
ACTN1	-0.34	30.24	-1.33	4.71	-1.58	3.92	-1.15	5.59	-0.9	10.32	0.02	61.31	-1.36	4.97	-1.36	3.79	12.63550952	N
ACTN2	-1.17	4.78	-1.72	2.47	-0.71	15.33	-1.64	2.56	-1.85	2.1	-1.4	2.86	-1.72	3.07	-1.13	5.75	37.38858106	N
ACTN4	-1.24	4.22	-0.71	14.78	-1.49	4.55	-0.66	12.95	-0.55	20.7	-0.77	11.03	-1.02	8.79	-1.3	4.18	8.750903397	N
ACTR10	-0.31	33.12	-0.25	35.75	0.12	57.55	-0.15	37.38	-0.11	46.94	-0.3	34.73	-0.21	36.73	-0.3	33.66	60.94916887	N
ACTR1A	-0.22	39.8	-0.36	28.63	-0.66	16.61	-0.05	45.37	-0.29	34.57	-0.17	45.6	-0.36	27.99	-0.24	38.27	24.92772826	Y
ACTR1B	0.29	75.08	-0.36	29.16	0.05	53.16	-0.13	38.79	0.38	75.31	0.59	84.51	-0.67	16.31	0.02	59.28	26.84292941	N
ACTR2	-0.05	55.48	-0.1	46.2	-0.32	30	0.15	62.8	-0.06	51	-0.02	59.11	-0.08	45.18	-0.05	53.64	4.005059022	Y
ACTR3	-0.06	54.08	0.13	62.74	-0.07	44.8	0.42	80.35	-0.19	41.39	-0.11	51.62	0.21	65.81	-0.02	56.24	2.975186702	Y
ACTR3B	-0.25	37.63	-0.43	25.15	-0.45	24.09	-0.08	42.56	-0.29	34.57	-0.17	45.6	-0.5	21.74	-0.33	31.71	3.824379668	Y
ACTR3C	0.42	79.94	0.48	78.95	0.86	88.44	0.8	91.18	0.42	76.98	0.57	84.1	0.66	84.08	0.33	75.84	96.42254878	Y
ACTR5	0.06	64.2	0.27	70.58	-0.59	18.78	-0.11	40.17	0.39	75.49	0.89	89.69	-0.17	39.07	0.25	72.65	51.39123103	N
ACTR6	-0.31	33.12	-0.25	35.75	-0.18	38.2	0.14	61.86	-0.32	32.45	-0.19	43.65	0.09	57.81	-0.42	25.91	7.197060949	N
ACTR8	-0.27	35.57	-0.62	17.31	-0.5	22.19	-0.62	14.13	-0.4	27.59	-0.19	42.29	-0.62	17.68	-0.34	30.52	16.69477234	N
ACTRT1	0.7	86.66	0.37	75.43	0.34	71.16	0.45	81.45	-0.31	33.16	0.1	67.67	0.99	90.68	0.14	67.69	83.74488075	N
ACTRT2	0.62	84.87	0.49	79.46	-0.05	46.41	0.35	76.95	0.31	72.39	0.55	83.48	0.37	73.75	1.05	91.34	47.75355336	N
ACTRT3	0.92	90.03	0.95	90.01	0.37	72.25	0.41	79.88	0.65	83.79	0.76	87.73	0.87	88.84	0.77	87.44	94.07973982	N
ACVR1	-0.48	22.15	-0.51	21.41	-0.95	10.23	-0.35	24.69	-0.55	21.03	-0.57	18.09	-0.64	17.01	-0.42	25.91	15.9419417	N
ACVR1B	-0.25	37.63	-0.41	26.23	-0.6	18.67	-0.08	42.56	-0.36	30.26	-0.21	41.76	-0.21	36.73	-0.3	33.66	2.68007709	Y
ACVR1C	0.08	65.39	-0.05	50.01	-0.26	33.55	-0.18	35	0.71	85.51	0.8	88.6	-0.25	34.57	-0.09	49.52	32.36569501	N
ACVR2A	-0.2	40.89	-0.34	30.07	-0.18	37.67	-0.03	46.77	-0.16	43.78	-0.09	53.45	-0.45	23.52	-0.3	33.66	28.13779812	Y
ACVR2B	-0.65	14.67	-0.78	12.88	-1.14	7.63	-0.26	29.85	-0.48	24	-0.53	20.14	-0.91	10.63	-0.37	28.37	8.793061913	N
ACVRL1	-0.81	10.23	-1.02	8	-0.86	11.96	-0.45	20.21	-0.81	12.54	-0.74	11.96	-0.95	10.01	-0.93	8.57	14.24957841	N
ACY1	-0.56	17.89	0.33	73.54	-0.03	47.64	0.7	89.27	-0.27	35.59	-0.64	15.52	0.55	80.86	0.17	69.17	51.84895206	N
ACY3	-0.78	10.9	-0.24	36.17	-0.63	17.53	0.17	63.59	-0.37	29.35	-0.7	13.17	-0.41	25.08	0.25	72.65	50.23488316	N
ACYP1	0	59.32	-0.03	51.04	0.09	55.75	0.2	67.15	-0.09	48.54	-0.05	57.34	0.16	62.02	0.1	65.33	88.55697422	Y
ACYP2	-0.09	51.36	0.08	59.76	0.14	58.97	0.1	58.27	0.32	72.92	-0.02	59.11	-0.27	33.32	-0.18	43.38	43.27872802	Y
ADA	-0.11	49.14	-0.09	46.92	0.24	65.46	-0.4	22.2	-0.35	30.95	0.08	66.58	-0.18	38.03	0.02	59.28	36.659841	N
ADAD1	-0.45	23.72	-0.23	37.32	-0.14	40.39	-0.03	47.18	-0.38	29.05	-0.47	23.43	-0.3	31.21	-0.36	29.59	40.95398699	N
ADAD2	0.17	69.98	0.14	63.65	0.01	49.95	0.5	83.28	1.11	91.9	0.67	85.82	0.04	53.94	0.05	61.8	56.74536256	N
ADAL	0.12	68.07	0.26	70.26	0.3	68.98	-0.13	38.52	0.06	58.83	-0.19	43.65	-0.2	37.31	-0.06	52.06	35.44326668	N
ADAM10	-0.39	27.26	-0.38	27.69	0.02	50.93	-0.25	30.64	-0.56	20.63	-0.34	31.62	-0.3	31.21	-0.36	29.59	15.74921706	N
ADAM11	-0.82	9.94	-1.07	7.43	-1.05	8.83	-0.48	18.87	-0.91	10.17	-0.81	10.28	-0.56	19.5	-0.84	10.29	18.74849434	N
ADAM12	-0.33	31.12	0.01	54.16	-0.53	21.13	-1.04	6.55	-0.57	19.77	0.04	62.81	-0.84	11.83	0.5	81.05	42.83305228	N
ADAM15	-0.07	52.8	-0.57	19.01	0.64	82.76	-0.17	35.58	0.28	70.49	-0.19	41.93	0	50.96	-0.11	48.59	64.03878583	N
ADAM17	0.12	67.62	0.6	82.78	0.15	59.75	0.25	70.62	0.32	72.59	-0.21	40.48	0.65	83.92	0.46	80.22	61.29245965	N
ADAM18	0.55	83.3	0.59	82.35	0.65	83.23	-0.4	21.86	0.57	81.33	-1.02	6.2	0.28	69.19	0.59	83.53	79.71573115	N
ADAM19	0.61	84.77	0.92	89.57	0.23	64.99	0.24	70.26	1.22	93.08	-0.02	57.41	0.51	79.44	0.74	86.88	58.23295591	N
ADAM2	-0.75	11.36	0.87	88.87	1.33	94.7	1.16	95.48	0.33	73.08	-0.98	6.89	0.56	81.15	0	57.45	89.8217297	N
ADAM20	-0.61	15.89	-0.13	44.03	0.86	88.56	0.75	90.14	-0.22	38.03	-0.85	9.21	-0.19	37.39	-0.08	50.99	86.34064081	N
ADAM21	-0.18	42.26	-0.11	45.57	0.47	76.54	0.19	65.05	-0.87	11.04	-0.49	21.48	0.49	78.83	0.27	73.66	20.89857866	N
ADAM22	0.1	66.65	-0.55	19.93	0.25	65.92	-1.12	5.81	-0.46	24.44	0.59	84.23	-0.19	37.39	-0.85	9.9	61.74415803	N
ADAM23	-0.79	10.59	-0.04	50.45	-0.53	21.02	-0.45	20.21	0.32	72.59	-0.74	11.96	-0.32	29.71	-0.84	10.29	86.20814262	N
ADAM28	1.9	96.88	0.76	86.85	0.54	79.34	0.02	50.93	0.97	90.11	-0.24	38.28	0.33	71.55	1.39	94.34	68.49554324	N
ADAM29	-0.61	15.89	0.11	62.14	-0.16	39.5	0.17	63.64	0.81	87.61	-0.91	7.92	-1.02	8.79	-0.53	19.97	27.84871115	N
ADAM30	-0.3	33.24	-0.31	32.23	-0.44	24.62	-0.54	16.65	0.1	60.99	0.46	80.68	-0.84	11.97	-0.41	26.19	75.8672609	N
ADAM32	0.24	73.1	0.38	75.63	1.82	97.49	0.2	66.56	0.05	58.25	-0.91	7.92	1.46	95.28	0.81	88.15	87.406649	N
ADAM33	1.02	91.24	0.8	87.69	0.53	79.08	-0.71	11.74	0.02	55.95	1.18	93	0.89	89.04	1.37	94.18	92.09226692	N
ADAM7	0.15	69.37	0.12	62.21	0.4	73.76	0.19	66.11	-0.35	30.39	0.42	79.19	1.71	96.75	0.41	78.25	64.22548783	N
ADAM9	-0.18	42.6	-0.2	38.98	0.04	52.15	-0.48	18.72	-0.2	40.2	-0.6	17.16	-0.53	20.87	-0.28	34.54	70.07949892	N
ADAMDEC1	1.4	94.45	1.4	94.72	0.85	88.32	0.88	92.54	0.42	76.81	0.91	89.91	1.3	94.07	1.41	94.49	87.219947	N
ADAMTS1	-0.56	17.99	0.07	59.17	-1.02	9.23	-0.25	30.08	0.34	73.54	-0.15	45.78	-0.61	17.98	-0.51	21.14	48.1992291	N
ADAMTS10	-0.55	18.52	-1.32	4.78	-1.28	6.19	-1.31	4.32	-1.73	2.47	-1.27	3.67	-1.09	7.84	-1.04	6.77	19.68802698	N
ADAMTS12	0.3	75.4	0.87	88.75	-1.06	8.59	-0.81	9.97	-0.23	37.8	0.36	76.84	0.51	79.38	1.63	95.7	62.50903397	N
ADAMTS13	0.95	90.37	0.62	83.42	1.36	94.98	-0.12	38.79	0.05	58.09	0.82	88.62	1.84	97.26	0.13	67.15	45.01927246	N
ADAMTS14	0.66	85.98	-0.55	19.87	-0.75	14.2	-1.32	4.17	0.32	72.4	0.27	73.61	-1.16	6.79	-0.14	46.07	36.26836907	N
ADAMTS15	-0.79	10.63	0.68	84.75	-0.79	13.35	-0.52	17.34	-0.77	13.33	-1.68	1.75	0.82	87.67	0.23	71.98	23.506384	N
ADAMTS16	1.4	94.47	0.68	84.77	0.58	80.97	-0.56	15.79	1.17	92.49	1.82	96.5	0.95	90.04	0.84	88.65	31.8838834	N
ADAMTS17	-0.92	7.73	-2.27	1.26	-1.02	9.14	-2.79	0.51	-1.76	2.39	-0.43	24.66	-1.95	2.26	-0.53	19.82	42.02601783	N
ADAMTS18	0.14	68.78	-0.09	47	1.55	96.28	-1.84	1.85	0.82	87.75	0.59	84.11	0.51	79.38	0.09	63.91	50.10238497	N
ADAMTS19	-0.3	33.24	-0.55	19.93	-0.58	19.03	-0.83	9.58	-0.87	11.04	-0.49	21.48	-0.49	22.34	-0.11	48.59	27.75837148	N
ADAMTS2	-0.1	49.95	-1.8	2.22	-2.48	1.27	-1.93	1.69	-1.07	7.55	0.06	64.26	-2.29	1.5	-0.98	7.69	25.35533606	N
ADAMTS20	-1.21	4.42	-0.75	13.58	0.21	63.53	-1.4	3.65	-2.49	0.9	-0.94	7.31	-0.46	23.09	-1.61	2.51	82.67284992	N
ADAMTS3	-0.19	41.3	-0.65	16.14	-1.15	7.57	-0.5	18.16	-0.38	28.49	-0.32	31.68	-0.71	15.01	-0.42	25.99	62.88243797	N
ADAMTS4	0.03	61.83	0.09	60.71	1.5	96.03	-0.34	25.16	1.61	95.77	0.46	80.68	-0.27	32.51	-0.06	52.14	82.49819321	N
ADAMTS5	1.79	96.45	0.25	69.62	0.08	54.97	0.95	93.45	0.54	80.76	1.56	95.47	-0.19	37.39	0.69	85.9	28.3485907	N
ADAMTS6	-0.58	16.97	-0.57	18.9	0.21	64.06	-0.09	41.76	-0.6	18.69	-0.85	9.21	-0.68	15.7	-0.47	22.92	29.35437244	N
ADAMTS7	-0.49	21.38	2.52	98.68	0.94	89.8	-1.13	5.71	2.59	98.68	0.08	65.6	0.91	89.46	1.93	96.9	53.36665864	N
ADAMTS8	-0.06	54.1	0.67	84.74	-0.05	46.02	0.43	80.39	1.03	90.99	0.34	76.13	0.75	86.32	0.12	66.72	54.11948928	N
ADAMTS9	-2.04	1.12	-2.39	1.08	-1.4	5.27	-3.05	0.41	-3.56	0.2	-2.67	0.43	-1.42	4.61	-1.53	2.89	57.01638159	N
ADAMTSL1	-1.58	2.19	-0.86	10.9	0.18	61.45	-1.83	1.86	-0.33	31.39	-0.43	24.66	-0.93	10.26	-1.53	2.89	52.13201638	N
ADAMTSL3	1.75	96.31	0.33	73.63	-0.17	38.33	-1.6	2.74	0.95	89.91	2.26	97.86	-0.14	40.54	0.82	88.15	72.81377981	N
ADAMTSL4	0.12	67.49	0	53.51	2.35	98.68	-0.83	9.6	-0.39	27.61	0.78	87.75	1.51	95.59	-0.97	7.83	75.29510961	N
ADAMTSL5	-0.22	39.07	0.44	77.85	0.5	77.75	0.91	92.99	0.21	67.45	-0.05	56.02	-0.38	27.1	-0.34	30.52	78.37870393	N
ADAP1	-0.32	31.44	-0.93	9.55	-0.95	10.27	-0.67	12.73	-0.85	11.7	-0.24	38.63	-0.61	17.93	-0.49	21.68	9.142375331	N
ADAP2	-0.28	35.17	-0.45	24	0.63	82.68	-0.11	39.74	-0.49	23.35	-0.3	34.73	0.22	66.59	-0.18	43.38	98.27150084	Y
ADAR	-0.36	29.28	-0.64	16.71	-1.04	8.97	-0.9	8.56	-1.1	7.14	-0.64	15.03	-0.78	13.17	-0.14	46.05	16.08046254	N
ADARB1	-0.66	14.11	-0.8	12.33	-1.48	4.66	-0.57	15.76	-0.71	15.09	-0.68	14.01	-0.96	9.8	-0.78	11.79	3.438930378	N
ADARB2	-0.44	23.81	-0.51	21.8	0.47	76.57	-0.4	21.84	-0.83	11.99	-0.17	43.77	-0.52	20.92	0.09	64.67	66.55022886	N
ADAT1	1.99	97.16	0.8	87.66	0.5	77.78	-0.26	29.98	0.81	87.61	1.2	93.22	0.72	85.71	1.35	94.02	92.58612383	N
ADAT2	0.24	72.99	0.19	66.82	-0.1	42.66	0	49.5	-0.01	54.49	-0.24	39.98	0.07	56.4	0.27	73.56	98.24741026	Y
ADC	-0.37	28.55	7.61E-05	53.98	0.38	73.11	0.45	81.51	0.18	65.71	-0.6	17.16	-0.01	50.46	-0.35	29.97	93.20645628	N
ADCK1	-1.05	6.08	-1.15	6.27	0.2	62.97	-0.73	11.45	-0.21	39.18	-1.08	5.64	-1.37	4.91	-0.82	10.65	76.40929896	N
ADCK2	0.94	90.24	0.69	85.26	-0.29	31.65	-0.52	17.25	1.3	93.74	0.51	82.12	0.74	86.15	0.66	85.28	71.36834498	N
ADCK3	-1.16	4.93	-1.7	2.55	-1.4	5.3	-1.33	4.13	-1.92	1.92	-1.44	2.66	-1.53	3.96	-1.4	3.53	51.46350277	N
ADCK4	0.16	69.46	0.03	55.79	-0.75	14.21	-0.47	19.01	0.33	73.08	0.61	84.73	-0.38	26.85	-0.97	7.81	48.96410503	N
ADCK5	-0.05	54.71	0	53.73	-0.47	23.06	-0.04	45.77	0.2	67.14	0.19	71.2	-0.57	19.2	0.08	63.86	13.18959287	N
ADCY1	-0.8	10.41	-1.39	4.25	-2.43	1.35	-0.91	8.28	-0.61	18.19	-0.81	9.98	-1.33	5.32	-1.18	5.32	4.968682245	N
ADCY10	0.2	71.31	0.64	83.79	0.99	90.62	-1	7.06	0.61	82.6	0.89	89.57	0.03	53.25	-1.61	2.51	59.19055649	N
ADCY2	-0.36	29.28	0.12	62.17	-0.46	23.9	-0.88	8.81	-0.31	32.56	0.44	80.03	-0.57	19.23	-1.09	6.14	20.68778608	N
ADCY3	-1.29	3.85	-2.17	1.42	-2.49	1.24	-1.77	2.1	-1.74	2.46	-1.04	5.96	-2.69	0.94	-1.67	2.28	18.25463744	N
ADCY4	-1.81	1.55	-2.32	1.19	0.1	56.17	-1.62	2.67	-1.6	3.06	-1.72	1.65	-2.25	1.57	-1.93	1.57	38.526861	N
ADCY5	-1.7	1.85	-2.39	1.1	-2.34	1.46	-1.77	2.1	-1.77	2.38	-1.59	2.03	-2.74	0.85	-1.93	1.57	12.49698868	N
ADCY6	-0.22	39.07	-1.19	5.9	-1.08	8.28	-0.24	30.92	-0.76	13.49	-0.32	31.68	-1.03	8.7	-1.55	2.8	23.86774271	N
ADCY7	-2.42	0.67	-3.02	0.51	-2.03	2.19	-1.76	2.13	-2.62	0.77	-2.61	0.45	-2.43	1.28	-2.21	1.04	35.10599855	N
ADCY8	-1.04	6.17	-1.28	5.17	-1.22	6.73	-1.2	5.16	-0.78	13.1	-0.91	7.74	-1.4	4.71	-1.54	2.86	41.47193447	N
ADCY9	-1.18	4.71	-1.78	2.28	-2.91	0.81	-2.32	1.01	-1.23	5.73	-0.62	15.54	-2.34	1.41	-1.24	4.68	17.05613105	N
ADCYAP1	-0.1	49.88	-0.19	39.68	-0.05	46.23	0.09	56.76	-0.12	46.17	-0.07	55.41	-0.27	33.32	-0.18	43.38	31.76945314	Y
ADCYAP1R1	-0.41	26.34	-0.16	41.91	0.56	80.26	-0.27	29.64	0.2	67.14	-0.34	31.62	0.01	51.24	-0.63	16.36	22.74753072	N
ADD1	-0.24	37.75	-0.93	9.68	-0.28	32.49	-0.46	19.59	-0.56	20.08	0	59.3	-0.5	21.85	0.04	61.38	66.06841725	N
ADD2	-0.44	23.81	-0.26	34.95	-0.26	33.24	0.17	64.37	-0.45	25.1	-1.23	4.18	-0.38	26.85	0.57	83.13	70.29631414	N
ADD3	-0.01	58.28	0.16	64.82	0.66	83.47	0.1	57.44	0.36	74.1	-0.72	12.54	-0.11	43.01	0.13	67.32	54.99879547	N
ADH1A	-0.28	35.17	-0.45	24	0.05	53.05	-0.11	39.74	-0.22	39.02	-0.13	49.82	-0.3	31.21	-0.36	29.59	30.81787521	Y
ADH1B	0.25	73.32	0.55	81.55	0.08	54.9	0.4	79.26	1.18	92.7	-0.15	46.2	0.01	51.24	0.52	81.96	65.12286196	N
ADH4	0.32	76.16	0.17	65.96	0.28	67.61	-0.38	23.02	0.28	70.75	0.53	82.91	-0.1	43.86	0.62	84.24	95.70585401	N
ADH5	-0.18	43.45	0.19	66.82	0.04	52.51	0.29	73.88	0.02	56.56	-0.21	41.76	-0.02	49.61	0.21	71.22	45.5974464	Y
ADH6	0.06	64.52	-0.32	31.69	0.29	68.02	-0.2	33.83	-0.69	15.81	-0.43	25.96	-0.21	36.73	0.09	64.59	68.41724886	N
ADH7	0.19	70.88	0.22	68.38	1.22	93.62	0.04	53.03	0.28	70.75	0	59.84	0.02	52.47	-0.01	56.62	94.2905324	N
ADHFE1	-0.18	42.6	-0.45	24.33	0.62	82.29	-0.19	34.15	-0.38	29.05	0.06	64.99	0.26	68.6	-0.4	26.66	96.66345459	N
ADI1	-0.28	35.17	-0.21	38.58	0.34	71.05	0.17	64.67	-0.39	28.47	-0.24	39.98	-0.06	46.82	-0.36	29.59	79.56516502	Y
ADIG	-0.09	51.36	0.08	59.76	0.43	75	0.39	78.9	-0.16	43.78	-0.09	53.45	0.56	81.33	-0.12	48.49	92.23681041	Y
ADIPOQ	0.04	62.41	0.13	63.2	-0.09	43.84	0.35	76.89	0.17	65.36	0.17	70.35	-0.15	40.41	-0.03	54.84	69.20019272	N
ADIPOR1	-0.18	43.45	-0.3	32.62	-0.54	20.58	0	49.5	-0.16	43.78	-0.09	53.45	-0.41	25.66	-0.27	35.97	7.100698627	Y
ADIPOR2	0.29	75.38	0.28	71.08	-0.09	43.74	0.07	55.44	0.22	68.16	-0.09	53.45	-0.02	49.61	0.21	71.22	6.715249338	Y
ADIRF	-0.02	58.07	-0.05	49.39	-0.1	43.16	0.19	65.65	-0.09	48.54	-0.05	57.34	0.06	55.51	0.04	61.25	96.92845098	Y
ADK	-0.2	40.89	-0.34	30.07	-0.18	37.67	-0.03	46.77	-0.32	32.45	-0.19	43.65	-0.31	30.41	-0.21	40.71	28.9086967	Y
ADM	0.26	74.23	0.24	68.98	-0.02	47.99	0.32	75.81	0.16	64.82	-0.13	49.82	0.32	71.39	0.66	85.18	17.05010841	Y
ADM5	0.05	64.03	0.3	71.81	0.11	56.84	0.27	72.42	0.39	75.71	0.55	83.59	0.11	58.99	0.07	63.34	#N/A	Y
ADNP	-1.38	3.26	-1.41	4.13	-0.73	14.87	-1.4	3.63	-1.52	3.39	-1.19	4.49	-1.11	7.61	-0.74	12.87	24.83738858	N
ADNP2	-1.5	2.6	-1.5	3.6	-1.93	2.42	-1.73	2.21	-1.14	6.7	-0.85	8.86	-1.12	7.36	-2	1.39	28.63767767	N
ADO	-0.1	49.88	0.08	59.76	-0.48	22.65	0.09	56.76	0.32	72.92	0.51	82.57	-0.31	30.41	-0.21	40.71	76.20452903	Y
ADORA1	-0.43	24.45	-0.2	38.82	-0.25	34	-0.01	48.61	-0.31	33.16	-0.43	25.96	-0.29	31.79	-0.51	21.08	25.48181161	N
ADORA2A	-0.12	47.71	-0.11	45.26	-0.53	20.98	-0.42	21.53	-0.79	13.03	-0.49	22.26	0.02	52.47	0.37	77.3	30.31197302	N
ADORA2B	0.46	81.06	0.64	83.9	0.39	73.31	0.94	93.35	-0.59	19.35	-0.36	30.17	0.58	82	1.12	92.22	99.81932065	N
ADORA3	0.26	73.75	-0.09	47.12	-0.18	37.9	-0.09	41.76	-0.01	53.75	0.1	67.15	-0.4	25.82	0.1	65.52	37.36449048	N
ADPGK	0.45	80.65	0.13	63.2	0.06	53.62	0.35	76.89	0.1	61.42	0.65	85.77	0.34	72.44	0.35	76.56	66.95976873	N
ADPRH	-0.42	25.38	-0.45	24.19	-0.21	36.29	-0.01	48.61	-0.28	35.31	-0.41	27.43	-0.49	22.27	-0.48	22.63	69.94097808	N
ADPRHL1	0.06	64.2	0.27	70.58	-0.01	48.78	0.47	82.18	0.32	72.59	0.31	75.55	0.03	53.23	-0.93	8.57	78.96290051	N
ADPRHL2	-0.11	49.14	-0.58	18.59	-0.05	45.91	-0.4	22.2	-0.07	49.76	-0.51	21.17	0	50.86	-0.09	49.52	70.57937846	N
ADPRM	0.42	79.85	0.08	60.31	-0.02	48.12	0.02	51.26	0.55	81.07	0.7	86.62	0	50.86	-0.09	49.52	56.22741508	N
ADRA1A	0.4	79.26	0.16	64.82	-0.21	35.98	-0.19	34.34	0.67	84.14	1.35	94.31	-0.02	49.8	-0.19	41.14	41.2490966	N
ADRA1B	-0.38	28.24	-0.6	17.75	-0.67	16.45	-0.23	31.65	-0.66	16.92	-0.41	27.43	-0.41	25.66	-0.27	35.97	35.61792339	N
